session_id,customer_id,login_date,projects_added,likes_given,comment_given,inactive_status,bug_occured,session_projects_added,session_likes_given,session_comments_given,inactive_duration,bugs_in_session,session_duration
624205,80746,10/30/19,FALSE,TRUE,TRUE,TRUE,FALSE,0,24,3,1146,0,1564
624241,24520,10/30/19,TRUE,TRUE,TRUE,TRUE,FALSE,2,3,5,133,0,1766
111002,32047,10/30/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,5,5,1571,0,2230
545113,23404,10/30/19,TRUE,TRUE,TRUE,FALSE,FALSE,1,10,21,0,0,633
750269,40235,10/30/19,TRUE,TRUE,FALSE,TRUE,FALSE,3,16,0,1405,0,1679
744943,73245,10/30/19,TRUE,TRUE,TRUE,TRUE,TRUE,3,27,5,1746,4,1490
922001,12407,10/30/19,TRUE,FALSE,TRUE,FALSE,FALSE,5,0,5,0,0,1329
823895,29375,10/30/19,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,5,2474,0,1875
490096,40572,10/30/19,TRUE,TRUE,FALSE,FALSE,FALSE,1,25,0,0,0,290
919319,23404,10/29/19,TRUE,TRUE,FALSE,TRUE,FALSE,2,14,0,2031,0,1957
696187,98653,10/29/19,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,1,930,0,1374
362558,40572,10/29/19,TRUE,TRUE,TRUE,TRUE,FALSE,3,19,3,2148,0,187
175035,87323,10/29/19,TRUE,TRUE,TRUE,TRUE,FALSE,2,4,1,672,0,1138
361637,51243,10/29/19,TRUE,TRUE,FALSE,FALSE,FALSE,3,24,0,0,0,39
730021,23083,10/29/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,3,2,2047,0,1736
920267,38459,10/29/19,FALSE,TRUE,TRUE,FALSE,FALSE,0,15,3,0,0,1188
935820,23985,10/28/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,26,1,2402,0,1001
889461,73524,10/28/19,TRUE,TRUE,TRUE,TRUE,FALSE,3,10,1,703,0,61
614943,14354,10/28/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,21,4,0,0,505
590435,43549,10/28/19,TRUE,TRUE,TRUE,FALSE,TRUE,1,5,1,0,3,878
211059,39475,10/28/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,4,1,0,0,378
938988,40572,10/28/19,FALSE,TRUE,TRUE,TRUE,FALSE,0,15,13,1078,0,856
636263,87323,10/28/19,TRUE,TRUE,TRUE,FALSE,TRUE,1,8,5,0,2,1346
311965,51243,10/28/19,TRUE,TRUE,TRUE,FALSE,FALSE,1,20,3,0,0,2114
997629,12496,10/28/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,24,9,0,0,2381
308860,43057,10/28/19,TRUE,TRUE,TRUE,FALSE,TRUE,1,20,4,0,1,1610
601606,87265,10/27/19,TRUE,TRUE,TRUE,FALSE,TRUE,2,15,2,0,2,1054
485200,14354,10/27/19,TRUE,TRUE,TRUE,TRUE,FALSE,1,15,4,1437,0,76
440820,29375,10/27/19,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,2,639,0,1173
310751,40572,10/27/19,TRUE,TRUE,TRUE,TRUE,TRUE,1,25,1,1107,3,32
156599,87323,10/27/19,TRUE,TRUE,TRUE,TRUE,TRUE,6,24,5,2160,2,2069
339866,23404,10/27/19,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,1,1919,5,613
43336,40235,10/27/19,TRUE,TRUE,TRUE,TRUE,TRUE,1,19,1,2145,3,299
235583,96254,10/26/19,TRUE,TRUE,TRUE,TRUE,TRUE,1,12,4,2394,4,1983
361427,87265,10/26/19,TRUE,FALSE,TRUE,TRUE,FALSE,2,0,3,312,0,1730
862128,23404,10/26/19,TRUE,FALSE,TRUE,TRUE,FALSE,2,,2,1120,0,95
541312,40572,10/26/19,FALSE,TRUE,TRUE,TRUE,TRUE,0,11,3,1779,3,283
557353,34574,10/26/19,TRUE,FALSE,FALSE,FALSE,TRUE,3,0,0,0,2,1759
243941,40235,10/26/19,TRUE,TRUE,TRUE,FALSE,FALSE,2,15,1,0,0,2313
652409,51243,10/26/19,FALSE,TRUE,TRUE,FALSE,TRUE,0,18,5,0,3,127
438584,23083,10/26/19,TRUE,TRUE,TRUE,TRUE,TRUE,3,24,4,1602,2,1421
